Ensembl	Gene Symbol	TPM
ENSG00000159556	ISL2	0.02
ENSG00000159592	GPBP1L1	45.45
ENSG00000159882	ZNF230	1.37
ENSG00000159885	ZNF222	1.87
ENSG00000159905	ZNF221	0.77
ENSG00000159915	ZNF233	0.06
ENSG00000159917	ZNF235	1.72
ENSG00000160062	ZBTB8A	4.24
ENSG00000160094	ZNF362	4.76
ENSG00000160113	NR2F6	22.54
ENSG00000160199	PKNOX1	18.67
ENSG00000160224	AIRE	0
ENSG00000160229	ZNF66	2.04
ENSG00000160321	ZNF208	0
ENSG00000160336	ZNF761	6.56
ENSG00000160352	ZNF714	3.98
ENSG00000160685	ZBTB7B	19.86
ENSG00000160908	ZNF394	8.93
ENSG00000160961	ZNF333	1.53
ENSG00000160973	FOXH1	0.1
ENSG00000161277	THAP8	2.75
ENSG00000161298	ZNF382	0.3
ENSG00000161405	IKZF3	0
ENSG00000161551	ZNF577	2.52
ENSG00000161642	ZNF385A	10.42
ENSG00000161914	ZNF653	8.99
ENSG00000161940	BCL6B	0
ENSG00000162086	ZNF75A	7.5
ENSG00000162367	TAL1	0
ENSG00000162419	GMEB1	7.27
ENSG00000162599	NFIA	24.8
ENSG00000162601	MYSM1	5.61
ENSG00000162624	LHX8	0
ENSG00000162664	ZNF326	7.69
ENSG00000162676	GFI1	0.39
ENSG00000162702	ZNF281	6.1
ENSG00000162714	ZNF496	7.31
ENSG00000162761	LMX1A	0
ENSG00000162772	ATF3	1.2
ENSG00000162924	REL	3.22
ENSG00000162992	NEUROD1	0
ENSG00000163064	EN1	0
ENSG00000163132	MSX1	0.15
ENSG00000163435	ELF3	2.17
ENSG00000163497	FEV	0
ENSG00000163508	EOMES	2.06
ENSG00000163623	NKX6-1	0
ENSG00000163666	HESX1	0.3
ENSG00000163792	TCF23	0
ENSG00000163795	ZNF513	7.44
ENSG00000163848	ZNF148	12.4
ENSG00000163884	KLF15	0.04
ENSG00000163909	HEYL	0.01
ENSG00000163939	PBRM1	16.63
ENSG00000164011	ZNF691	6.83
ENSG00000164048	ZNF589	6.3
ENSG00000164093	PITX2	0.03
ENSG00000164104	HMGB2	55.53
ENSG00000164107	HAND2	0
ENSG00000164256	PRDM9	0
ENSG00000164299	SPZ1	0
ENSG00000164330	EBF1	0
ENSG00000164334	FAM170A	0.01
ENSG00000164379	FOXQ1	1.7
ENSG00000164438	TLX3	0
ENSG00000164458	TBXT	0
ENSG00000164463	CREBRF	1.46
ENSG00000164532	TBX20	0
ENSG00000164600	NEUROD6	0
ENSG00000164631	ZNF12	4.45
ENSG00000164651	SP8	0.09
ENSG00000164683	HEY1	0.9
ENSG00000164684	ZNF704	0.48
ENSG00000164736	SOX17	0
ENSG00000164749	HNF4G	0
ENSG00000164778	EN2	0
ENSG00000164853	UNCX	0
ENSG00000164900	GBX1	0
ENSG00000164916	FOXK1	9.05
ENSG00000164920	OSR2	2.56
ENSG00000165030	NFIL3	5.25
ENSG00000165066	NKX6-3	0
ENSG00000165156	ZHX1	11.53
ENSG00000165244	ZNF367	3.75
ENSG00000165259	HDX	1.58
ENSG00000165462	PHOX2A	0
ENSG00000165495	PKNOX2	0.09
ENSG00000165512	ZNF22	2.37
ENSG00000165556	CDX2	0.01
ENSG00000165588	OTX2	0.02
ENSG00000165606	DRGX	0
ENSG00000165643	SOHLH1	0
ENSG00000165655	ZNF503	3.36
ENSG00000165684	SNAPC4	1.95
ENSG00000165702	GFI1B	0
ENSG00000165804	ZNF219	33.62
ENSG00000165821	SALL2	1.88
ENSG00000165891	E2F7	10.57
ENSG00000166188	ZNF319	4.58
ENSG00000166211	SPIC	0
ENSG00000166261	ZNF202	8.24
ENSG00000166268	MYRFL	0.05
ENSG00000166349	RAG1	0.14
ENSG00000166402	TUB	0.77
ENSG00000166454	ATMIN	24.21
ENSG00000166478	ZNF143	22.78
ENSG00000166526	ZNF3	11.01
ENSG00000166529	ZSCAN21	6.98
ENSG00000166704	ZNF606	1.72
ENSG00000166716	ZNF592	8.12
ENSG00000166823	MESP1	0.07
ENSG00000166860	ZBTB39	3.98
ENSG00000166888	STAT6	150.5
ENSG00000166925	TSC22D4	18.34
ENSG00000166949	SMAD3	26.2
ENSG00000167034	NKX3-1	2
ENSG00000167074	TEF	6.7
ENSG00000167081	PBX3	22.04
ENSG00000167085	PHB	301.32
ENSG00000167157	PRRX2	0
ENSG00000167182	SP2	2.47
ENSG00000167232	ZNF91	7.43
ENSG00000167377	ZNF23	3.3
ENSG00000167380	ZNF226	8.87
ENSG00000167384	ZNF180	1.01
ENSG00000167394	ZNF668	6.41
ENSG00000167395	ZNF646	3.04
ENSG00000167491	GATAD2A	44.55
ENSG00000167528	ZNF641	4.29
ENSG00000167554	ZNF610	0.36
ENSG00000167555	ZNF528	1.18
ENSG00000167562	ZNF701	2.27
ENSG00000167625	ZNF526	7.62
ENSG00000167635	ZNF146	35.17
ENSG00000167637	ZNF283	1.76
ENSG00000167685	ZNF444	9.68
ENSG00000167766	ZNF83	15.49
ENSG00000167771	RCOR2	0.07
ENSG00000167785	ZNF558	3.42
ENSG00000167800	TBX10	0
ENSG00000167840	ZNF232	5.85
ENSG00000167967	E4F1	13.5
ENSG00000167981	ZNF597	0.88
ENSG00000168062	BATF2	0.59
ENSG00000168152	THAP9	1.44
ENSG00000168214	RBPJ	26.11
ENSG00000168267	PTF1A	0
ENSG00000168269	FOXI1	0.01
ENSG00000168286	THAP11	18.88
ENSG00000168310	IRF2	21.4
ENSG00000168348	INSM2	0
ENSG00000168505	GBX2	0.02
ENSG00000168610	STAT3	45.69
ENSG00000168661	ZNF30	1.94
ENSG00000168769	TET2	5.07
ENSG00000168779	SHOX2	0.04
ENSG00000168795	ZBTB5	7.28
ENSG00000168813	ZNF507	6.38
ENSG00000168826	ZBTB49	1.68
ENSG00000168874	ATOH8	0
ENSG00000168875	SOX14	0
ENSG00000168916	ZNF608	3.94
ENSG00000169016	E2F6	7.6
ENSG00000169057	MECP2	10.15
ENSG00000169083	AR	0
ENSG00000169131	ZNF354A	5.1
ENSG00000169136	ATF5	8
ENSG00000169155	ZBTB43	6.38
ENSG00000169297	NR0B1	0.01
ENSG00000169548	ZNF280A	0
ENSG00000169554	ZEB2	0.21
ENSG00000169594	BNC1	91.49
ENSG00000169635	HIC2	0.63
ENSG00000169689	CENPX	90.89
ENSG00000169714	CNBP	310.01
ENSG00000169740	ZNF32	13.25
ENSG00000169840	GSX1	0
ENSG00000169856	ONECUT1	0
ENSG00000169926	KLF13	22.31
ENSG00000169946	ZFPM2	0
ENSG00000169951	ZNF764	2.51
ENSG00000169953	HSFY2	0
ENSG00000169955	ZNF747	4.23
ENSG00000169957	ZNF768	16.46
ENSG00000169981	ZNF35	4.98
ENSG00000170100	ZNF778	3.84
ENSG00000170122	FOXD4	0.09
ENSG00000170166	HOXD4	0
ENSG00000170178	HOXD12	0
ENSG00000170260	ZNF212	4.8
ENSG00000170265	ZNF282	12.36
ENSG00000170322	NFRKB	25.21
ENSG00000170325	PRDM10	5.66
ENSG00000170345	FOS	80.03
ENSG00000170365	SMAD1	25.25
ENSG00000170370	EMX2	0
ENSG00000170374	SP7	0
ENSG00000170448	NFXL1	10.76
ENSG00000170485	NPAS2	45.17
ENSG00000170549	IRX1	26.29
ENSG00000170561	IRX2	16.33
ENSG00000170577	SIX2	0.02
ENSG00000170581	STAT2	28.79
ENSG00000170608	FOXA3	0.01
ENSG00000170631	ZNF16	4.33
ENSG00000170653	ATF7	14.49
ENSG00000170684	ZNF296	0.19
ENSG00000170689	HOXB9	0.01
ENSG00000170802	FOXN2	12.13
ENSG00000170949	ZNF160	8.98
ENSG00000170954	ZNF415	1.11
ENSG00000171056	SOX7	3.91
ENSG00000171116	HSFX1	0.2
ENSG00000171161	ZNF672	19.86
ENSG00000171163	ZNF692	24.83
ENSG00000171223	JUNB	74.07
ENSG00000171291	ZNF439	0.11
ENSG00000171295	ZNF440	2.05
ENSG00000171425	ZNF581	16.42
ENSG00000171443	ZNF524	6.18
ENSG00000171448	ZBTB26	1.4
ENSG00000171466	ZNF562	10.46
ENSG00000171467	ZNF318	15.43
ENSG00000171469	ZNF561	33.47
ENSG00000171476	HOPX	0.06
ENSG00000171532	NEUROD2	0
ENSG00000171540	OTP	0
ENSG00000171574	ZNF584	13.72
ENSG00000171606	ZNF274	17.6
ENSG00000171649	ZIK1	2.04
ENSG00000171735	CAMTA1	40.69
ENSG00000171786	NHLH1	0.09
ENSG00000171817	ZNF540	0.31
ENSG00000171827	ZNF570	0.84
ENSG00000171872	KLF17	0.01
ENSG00000171940	ZNF217	7.71
ENSG00000171956	FOXB1	0
ENSG00000171970	ZNF57	6.26
ENSG00000172000	ZNF556	0
ENSG00000172006	ZNF554	1.64
ENSG00000172059	KLF11	7.08
ENSG00000172201	ID4	0.04
ENSG00000172216	CEBPB	31.35
ENSG00000172238	ATOH1	0
ENSG00000172262	ZNF131	17.9
ENSG00000172273	HINFP	14.29
ENSG00000172346	CSDC2	0
ENSG00000172379	ARNT2	0.3
ENSG00000172466	ZNF24	8.68
ENSG00000172468	HSFY1	0
ENSG00000172493	AFF1	17.71
ENSG00000172733	PURG	0
ENSG00000172748	ZNF596	0.68
ENSG00000172789	HOXC5	0.72
ENSG00000172818	OVOL1	2.06
ENSG00000172819	RARG	32.33
ENSG00000172845	SP3	18.24
ENSG00000172888	ZNF621	8.39
ENSG00000173011	TADA2B	5.96
ENSG00000173039	RELA	29.74
ENSG00000173041	ZNF680	1.62
ENSG00000173068	BNC2	0.03
ENSG00000173153	ESRRA	30.87
ENSG00000173253	DMRT2	0
ENSG00000173258	ZNF483	0.51
ENSG00000173275	ZNF449	1.45
ENSG00000173276	ZBTB21	5.93
ENSG00000173404	INSM1	0
ENSG00000173451	THAP2	1.02
ENSG00000173473	SMARCC1	21.18
ENSG00000173480	ZNF417	1.9
ENSG00000173545	ZNF622	18.74
ENSG00000173673	HES3	0
ENSG00000173757	STAT5B	11.88
ENSG00000173875	ZNF791	5.56
ENSG00000173894	CBX2	3.24
ENSG00000173917	HOXB2	5.92
ENSG00000173976	RAX2	0
ENSG00000174197	MGA	3.31
ENSG00000174255	ZNF80	0
ENSG00000174279	EVX2	0
ENSG00000174282	ZBTB4	18.6
ENSG00000174306	ZHX3	13.58
ENSG00000174332	GLIS1	0
ENSG00000174428	GTF2IRD2B	4.57
ENSG00000174576	NPAS4	0
ENSG00000174586	ZNF497	0.32
ENSG00000174652	ZNF266	7.74
ENSG00000174738	NR1D2	5.45
ENSG00000174796	THAP6	4.62
ENSG00000174963	ZIC4	0
ENSG00000175105	ZNF654	2.1
ENSG00000175197	DDIT3	8.26
ENSG00000175213	ZNF408	6.43
ENSG00000175279	CENPS	13.26
ENSG00000175322	ZNF519	1.44
ENSG00000175325	PROP1	0
ENSG00000175329	ISX	0
ENSG00000175387	SMAD2	50.64
ENSG00000175395	ZNF25	1.11
ENSG00000175592	FOSL1	28.14
ENSG00000175691	ZNF77	3.63
ENSG00000175727	MLXIP	12.77
ENSG00000175745	NR2F1	6.58
ENSG00000175787	ZNF169	1.23
ENSG00000175832	ETV4	30.33
ENSG00000175879	HOXD8	0
ENSG00000176009	ASCL3	0
ENSG00000176024	ZNF613	2.89
ENSG00000176083	ZNF683	0
ENSG00000176160	HSF5	0
ENSG00000176165	FOXG1	0
ENSG00000176222	ZNF404	0.6
ENSG00000176256	HMGB4	0
ENSG00000176293	ZNF135	0.23
ENSG00000176302	FOXR1	0
ENSG00000176371	ZSCAN2	3.78
ENSG00000176399	DMRTA1	0.32
ENSG00000176472	ZNF575	0.16
ENSG00000176542	USF3	8.03
ENSG00000176678	FOXL1	1.12
ENSG00000176679	TGIF2LY	0
ENSG00000176692	FOXC2	1.11
ENSG00000176842	IRX5	5.05
ENSG00000176887	SOX11	0
ENSG00000176946	THAP4	42.26
ENSG00000177030	DEAF1	13.53
ENSG00000177045	SIX5	4.22
ENSG00000177125	ZBTB34	2.98
ENSG00000177311	ZBTB38	30.36
ENSG00000177374	HIC1	0.18
ENSG00000177426	TGIF1	133.31
ENSG00000177463	NR2C2	10.68
ENSG00000177468	OLIG3	0
ENSG00000177485	ZBTB33	4.31
ENSG00000177494	ZBED2	37.91
ENSG00000177508	IRX3	2.28
ENSG00000177551	NHLH2	0.02
ENSG00000177599	ZNF491	0.07
ENSG00000177606	JUN	21.9
ENSG00000177683	THAP5	4.61
ENSG00000177732	SOX12	1.68
ENSG00000177842	ZNF620	0.48
ENSG00000177853	ZNF518A	3.54
ENSG00000177873	ZNF619	2.21
ENSG00000177888	ZBTB41	2.73
ENSG00000177932	ZNF354C	1.33
ENSG00000178150	ZNF114	5.94
ENSG00000178163	ZNF518B	4.2
ENSG00000178175	ZNF366	0
ENSG00000178177	LCORL	1.44
ENSG00000178187	ZNF454	0
ENSG00000178229	ZNF543	1.74
ENSG00000178338	ZNF354B	3.87
ENSG00000178386	ZNF223	1.84
ENSG00000178403	NEUROG2	0
ENSG00000178573	MAF	2.84
ENSG00000178662	CSRNP3	0.85
ENSG00000178665	ZNF713	1.03
ENSG00000178764	ZHX2	5.74
ENSG00000178860	MSC	3.41
ENSG00000178917	ZNF852	0.81
ENSG00000178919	FOXE1	0.11
ENSG00000178928	TPRX1	0.01
ENSG00000178935	ZNF552	2.39
ENSG00000178951	ZBTB7A	9.76
ENSG00000179059	ZFP42	0.01
ENSG00000179111	HES7	0.3
ENSG00000179195	ZNF664	23.51
ENSG00000179348	GATA2	0.09
ENSG00000179361	ARID3B	3.7
ENSG00000179388	EGR3	3.09
ENSG00000179456	ZBTB18	4.59
ENSG00000179528	LBX2	0.09
ENSG00000179588	ZFPM1	0.8
ENSG00000179627	ZBTB42	1.06
ENSG00000179632	MAF1	67.45
ENSG00000179772	FOXS1	0
ENSG00000179774	ATOH7	0.03
ENSG00000179909	ZNF154	0.62
ENSG00000179922	ZNF784	2.43
ENSG00000179930	ZNF648	0.02
ENSG00000179943	FIZ1	3.29
ENSG00000179965	ZNF771	2.93
ENSG00000179981	TSHZ1	1.82
ENSG00000180035	ZNF48	4.24
ENSG00000180053	NKX2-6	0
ENSG00000180257	ZNF816	3.36
ENSG00000180318	ALX1	0
ENSG00000180357	ZNF609	11.81
ENSG00000180479	ZNF571	0.74
ENSG00000180532	ZSCAN4	0.11
ENSG00000180535	BHLHA15	0.13
ENSG00000180613	GSX2	0.01
ENSG00000180626	ZNF594	0.54
ENSG00000180787	ZFP3	0.36
ENSG00000180806	HOXC9	2.57
ENSG00000180818	HOXC10	0.74
ENSG00000180828	BHLHE22	0
ENSG00000180855	ZNF443	1.11
ENSG00000180884	ZNF792	1.43
ENSG00000180938	ZNF572	0.02
ENSG00000181007	ZFP82	1.62
ENSG00000181135	ZNF707	5.2
ENSG00000181220	ZNF746	8.18
ENSG00000181315	ZNF322	3.2
ENSG00000181444	ZNF467	0.26
ENSG00000181449	SOX2	0.01
ENSG00000181450	ZNF678	1.53
ENSG00000181472	ZBTB2	13
ENSG00000181638	ZFP41	2.17
ENSG00000181666	HKR1	12.73
ENSG00000181690	PLAG1	0.9
ENSG00000181722	ZBTB20	1.09
ENSG00000181827	RFX7	7.39
ENSG00000181894	ZNF329	3.33
ENSG00000181896	ZNF101	4.38
ENSG00000181965	NEUROG1	0
ENSG00000182111	ZNF716	0
ENSG00000182141	ZNF708	1.18
ENSG00000182158	CREB3L2	20.04
ENSG00000182318	ZSCAN22	2.85
ENSG00000182463	TSHZ2	3.54
ENSG00000182568	SATB1	1.74
ENSG00000182742	HOXB4	0.01
ENSG00000182759	MAFA	0
ENSG00000182903	ZNF721	7.04
ENSG00000182968	SOX1	0
ENSG00000182979	MTA1	45.12
ENSG00000182983	ZNF662	0.11
ENSG00000182986	ZNF320	11.66
ENSG00000183072	NKX2-5	0.03
ENSG00000183309	ZNF623	6.63
ENSG00000183434	TFDP3	0
ENSG00000183621	ZNF438	1.47
ENSG00000183647	ZNF530	4.11
ENSG00000183733	FIGLA	0
ENSG00000183734	ASCL2	0.04
ENSG00000183770	FOXL2	0.42
ENSG00000183850	ZNF730	0.03
ENSG00000184058	TBX1	0
ENSG00000184221	OLIG1	0
ENSG00000184271	POU6F1	0.28
ENSG00000184302	SIX6	0
ENSG00000184436	THAP7	20.81
ENSG00000184481	FOXO4	1.53
ENSG00000184486	POU3F2	0
ENSG00000184492	FOXD4L1	0.09
ENSG00000184517	ZFP1	5.69
ENSG00000184635	ZNF93	1.22
ENSG00000184659	FOXD4L4	0.02
ENSG00000184677	ZBTB40	2.75
ENSG00000184828	ZBTB7C	2.12
ENSG00000184895	SRY	0
ENSG00000184911	DMRTC1B	0
ENSG00000184937	WT1	0
ENSG00000184939	ZFP90	12.07
ENSG00000185002	RFX6	0
ENSG00000185022	MAFF	12.33
ENSG00000185122	HSF1	73.5
ENSG00000185129	PURA	2.92
ENSG00000185155	MIXL1	0.02
ENSG00000185177	ZNF479	0
ENSG00000185219	ZNF445	1.7
ENSG00000185252	ZNF74	5.24
ENSG00000185278	ZBTB37	1.48
ENSG00000185404	SP140L	4.29
ENSG00000185507	IRF7	1.21
ENSG00000185513	L3MBTL1	2.01
ENSG00000185551	NR2F2	15.86
ENSG00000185591	SP1	34.59
ENSG00000185610	DBX2	0
ENSG00000185630	PBX1	4.39
ENSG00000185650	ZFP36L1	126.76
ENSG00000185668	POU3F1	0.07
ENSG00000185669	SNAI3	0.06
ENSG00000185670	ZBTB3	5.25
ENSG00000185697	MYBL1	3.71
ENSG00000185730	ZNF696	1.72
ENSG00000185811	IKZF1	0.01
ENSG00000185869	ZNF829	0.55
ENSG00000185947	ZNF267	4.2
ENSG00000185960	SHOX	0
ENSG00000186017	ZNF566	1.8
ENSG00000186020	ZNF529	1.98
ENSG00000186026	ZNF284	0.86
ENSG00000186051	TAL2	0.09
ENSG00000186103	ARGFX	0
ENSG00000186130	ZBTB6	3.3
ENSG00000186230	ZNF749	15.11
ENSG00000186272	ZNF17	2.9
ENSG00000186300	ZNF555	1.87
ENSG00000186350	RXRA	22.3
ENSG00000186376	ZNF75D	2.09
ENSG00000186416	NKRF	7.37
ENSG00000186446	ZNF501	0.79
ENSG00000186448	ZNF197	3.97
ENSG00000186487	MYT1L	0
ENSG00000186496	ZNF396	0.12
ENSG00000186564	FOXD2	0.15
ENSG00000186660	ZFP91	21.73
ENSG00000186766	FOXI2	0
ENSG00000186777	ZNF732	0.47
ENSG00000186790	FOXE3	0.03
ENSG00000186812	ZNF397	3.75
ENSG00000186814	ZSCAN30	3.52
ENSG00000186918	ZNF395	17.35
ENSG00000186951	PPARA	6.62
ENSG00000187079	TEAD1	17.67
ENSG00000187098	MITF	1.61
ENSG00000187140	FOXD3	0
ENSG00000187187	ZNF546	0.28
ENSG00000187559	FOXD4L3	0.04
ENSG00000187607	ZNF286A	30.08
ENSG00000187626	ZKSCAN4	2
ENSG00000187634	SAMD11	0
ENSG00000187772	LIN28B	0
ENSG00000187792	ZNF70	0.76
ENSG00000187801	ZFP69B	2.6
ENSG00000187815	ZFP69	1.89
ENSG00000187821	HELT	0
ENSG00000187855	ASCL4	0
ENSG00000187987	ZSCAN23	0.81
ENSG00000188033	ZNF490	1.92
ENSG00000188070	C11orf95	1.7
ENSG00000188095	MESP2	0.11
ENSG00000188171	ZNF626	2.61
ENSG00000188227	ZNF793	1.39
ENSG00000188283	ZNF383	2.14
ENSG00000188290	HES4	1.9
ENSG00000188295	ZNF669	2.74
ENSG00000188313	PLSCR1	34.27
ENSG00000188321	ZNF559	4.58
ENSG00000188620	HMX3	0
ENSG00000188629	ZNF177	0.48
ENSG00000188785	ZNF548	6.08
ENSG00000188786	MTF1	7.41
ENSG00000188816	HMX2	0
ENSG00000188868	ZNF563	1.78
ENSG00000188909	BSX	0
ENSG00000188994	ZNF292	5.44
ENSG00000189042	ZNF567	3.43
ENSG00000189067	LITAF	160.13
ENSG00000189079	ARID2	12.29
ENSG00000189120	SP6	4.1
ENSG00000189144	ZNF573	5.23
ENSG00000189164	ZNF527	1.64
ENSG00000189180	ZNF33A	6.92
ENSG00000189190	ZNF600	6.69
ENSG00000189298	ZKSCAN3	2.11
ENSG00000189299	FOXR2	0
ENSG00000189403	HMGB1	171.15
ENSG00000189420	ZFP92	0.38
ENSG00000196081	ZNF724	3.51
ENSG00000196092	PAX5	0
ENSG00000196109	ZNF676	0
ENSG00000196110	ZNF699	2.49
ENSG00000196132	MYT1	0.02
ENSG00000196150	ZNF250	5.67
ENSG00000196152	ZNF79	5.56
ENSG00000196172	ZNF681	0.18
ENSG00000196214	ZNF766	4.16
ENSG00000196233	LCOR	10.66
ENSG00000196247	ZNF107	1.77
ENSG00000196263	ZNF471	0.69
ENSG00000196267	ZNF836	2.76
ENSG00000196268	ZNF493	1.77
ENSG00000196275	GTF2IRD2	3.64
ENSG00000196323	ZBTB44	11.5
ENSG00000196345	ZKSCAN7	0.79
ENSG00000196350	ZNF729	0
ENSG00000196357	ZNF565	1.37
ENSG00000196378	ZNF34	1.75
ENSG00000196381	ZNF781	0.01
ENSG00000196387	ZNF140	9.55
ENSG00000196391	ZNF774	1.93
ENSG00000196417	ZNF765	3.24
ENSG00000196418	ZNF124	2.82
ENSG00000196428	TSC22D2	7.33
ENSG00000196437	ZNF569	0.98
ENSG00000196453	ZNF777	7.48
ENSG00000196456	ZNF775	1.58
ENSG00000196458	ZNF605	2.67
ENSG00000196460	RFX8	0.47
ENSG00000196466	ZNF799	1.3
ENSG00000196482	ESRRG	0.08
ENSG00000196498	NCOR2	16.85
ENSG00000196597	ZNF782	0.82
ENSG00000196605	ZNF846	2.2
ENSG00000196628	TCF4	11.71
ENSG00000196646	ZNF136	1.06
ENSG00000196652	ZKSCAN5	6.36
ENSG00000196653	ZNF502	1.56
ENSG00000196670	ZFP62	6
ENSG00000196693	ZNF33B	3.96
ENSG00000196700	ZNF512B	3.66
ENSG00000196705	ZNF431	4.37
ENSG00000196724	ZNF418	1.31
ENSG00000196757	ZNF700	2.73
ENSG00000196767	POU3F4	0
ENSG00000196793	ZNF239	1.18
ENSG00000196812	ZSCAN16	0.93
ENSG00000196843	ARID5A	2.66
ENSG00000196867	ZFP28	1.65
ENSG00000196946	ZNF705A	0
ENSG00000196967	ZNF585A	6.35
ENSG00000197008	ZNF138	2.25
ENSG00000197013	ZNF429	2.21
ENSG00000197016	ZNF470	0.76
ENSG00000197020	ZNF100	2.46
ENSG00000197024	ZNF398	9.1
ENSG00000197037	ZSCAN25	7.95
ENSG00000197044	ZNF441	0.76
ENSG00000197050	ZNF420	1.79
ENSG00000197054	ZNF763	0.5
ENSG00000197062	ZSCAN26	5.86
ENSG00000197063	MAFG	10.21
ENSG00000197114	ZGPAT	11.7
ENSG00000197123	ZNF679	0
ENSG00000197124	ZNF682	0.01
ENSG00000197128	ZNF772	2.76
ENSG00000197134	ZNF257	0
ENSG00000197162	ZNF785	2.8
ENSG00000197213	ZSCAN5B	0.01
ENSG00000197279	ZNF165	1.09
ENSG00000197302	ZNF720	5.02
ENSG00000197343	ZNF655	35.24
ENSG00000197360	ZNF98	0
ENSG00000197362	ZNF786	3.38
ENSG00000197363	ZNF517	1.02
ENSG00000197372	ZNF675	5.06
ENSG00000197385	ZNF860	3.9
ENSG00000197472	ZNF695	0.66
ENSG00000197483	ZNF628	1.5
ENSG00000197497	ZNF665	1.16
ENSG00000197566	ZNF624	0.58
ENSG00000197576	HOXA4	1.58
ENSG00000197587	DMBX1	0
ENSG00000197608	ZNF841	3.3
ENSG00000197619	ZNF615	2.3
ENSG00000197647	ZNF433	0.41
ENSG00000197714	ZNF460	13.51
ENSG00000197757	HOXC6	3.7
ENSG00000197779	ZNF81	2.05
ENSG00000197782	ZNF780A	8.84
ENSG00000197808	ZNF461	1.06
ENSG00000197841	ZNF181	3.6
ENSG00000197857	ZNF44	2.19
ENSG00000197863	ZNF790	2.24
ENSG00000197905	TEAD4	16.58
ENSG00000197921	HES5	0.01
ENSG00000197928	ZNF677	6.63
ENSG00000197933	ZNF823	2.15
ENSG00000197935	ZNF311	1.12
ENSG00000197937	ZNF347	2.62
ENSG00000197951	ZNF71	4.53
ENSG00000197961	ZNF121	5.07
ENSG00000198026	ZNF335	9.3
ENSG00000198028	ZNF560	0.04
ENSG00000198039	ZNF273	1.7
ENSG00000198040	ZNF84	6.83
ENSG00000198046	ZNF667	0.83
ENSG00000198081	ZBTB14	5.2
ENSG00000198093	ZNF649	3.89
ENSG00000198105	ZNF248	3.24
ENSG00000198131	ZNF544	35.2
ENSG00000198146	ZNF770	12.9
ENSG00000198160	MIER1	8.64
ENSG00000198169	ZNF251	3.45
ENSG00000198176	TFDP1	120.96
ENSG00000198182	ZNF607	1.84
ENSG00000198185	ZNF334	1.74
ENSG00000198205	ZXDA	1.06
ENSG00000198298	ZNF485	2.84
ENSG00000198300	PEG3	0
ENSG00000198315	ZKSCAN8	3.98
ENSG00000198342	ZNF442	0.15
ENSG00000198346	ZNF813	0.86
ENSG00000198353	HOXC4	2.16
ENSG00000198393	ZNF26	3.59
ENSG00000198429	ZNF69	0.32
ENSG00000198440	ZNF583	0.76
ENSG00000198453	ZNF568	1.71
ENSG00000198455	ZXDB	3.3
ENSG00000198464	ZNF480	3.51
ENSG00000198466	ZNF587	5.33
ENSG00000198482	ZNF808	6.29
ENSG00000198517	MAFK	2.75
ENSG00000198521	ZNF43	1.21
ENSG00000198538	ZNF28	10.19
ENSG00000198546	ZNF511	22.62
ENSG00000198551	ZNF627	3.85
ENSG00000198554	WDHD1	9.43
ENSG00000198556	ZNF789	3.39
ENSG00000198597	ZNF536	0
ENSG00000198633	ZNF534	0
ENSG00000198715	GLMP	14.63
ENSG00000198740	ZNF652	3.78
ENSG00000198795	ZNF521	0.13
ENSG00000198807	PAX9	0.89
ENSG00000198815	FOXJ3	25.13
ENSG00000198816	ZNF358	13.51
ENSG00000198839	ZNF277	10.52
ENSG00000198846	TOX	0.01
ENSG00000198911	SREBF2	54.74
ENSG00000198914	POU3F3	0
ENSG00000198939	ZFP2	0.07
ENSG00000198945	L3MBTL3	4.98
ENSG00000198963	RORB	0.04
ENSG00000203326	ZNF525	4.68
ENSG00000203883	SOX18	0
ENSG00000203989	RHOXF2B	0
ENSG00000204060	FOXO6	0
ENSG00000204103	MAFB	0.14
ENSG00000204231	RXRB	22.08
ENSG00000204304	PBX2	34.66
ENSG00000204335	SP5	0.01
ENSG00000204366	ZBTB12	0.84
ENSG00000204514	ZNF814	7.81
ENSG00000204519	ZNF551	7.03
ENSG00000204524	ZNF805	3.83
ENSG00000204531	POU5F1	1.13
ENSG00000204532	ZSCAN5C	0
ENSG00000204595	DPRX	0.03
ENSG00000204604	ZNF468	6.21
ENSG00000204611	ZNF616	2.63
ENSG00000204612	FOXB2	0
ENSG00000204644	ZFP57	0.94
ENSG00000204779	FOXD4L5	0.02
ENSG00000204859	ZBTB48	12.91
ENSG00000204920	ZNF155	0.62
ENSG00000204946	ZNF783	3.81
ENSG00000204947	ZNF425	1.54
ENSG00000205143	ARID3C	0
ENSG00000205189	ZBTB10	0.43
ENSG00000205250	E2F4	78.79
ENSG00000205857	NANOGNB	0
ENSG00000205899	BHLHA9	0
ENSG00000205903	ZNF316	3.33
ENSG00000205922	ONECUT3	0.01
ENSG00000205927	OLIG2	0
ENSG00000212993	POU5F1B	0.04
ENSG00000213015	ZNF580	5.93
ENSG00000213020	ZNF611	3.16
ENSG00000213096	ZNF254	3.24
ENSG00000213347	MXD3	3.17
ENSG00000213676	ATF6B	37.64
ENSG00000213762	ZNF134	9.67
ENSG00000213793	ZNF888	0.34
ENSG00000213799	ZNF845	2.29
ENSG00000213921	LEUTX	0
ENSG00000213928	IRF9	15.82
ENSG00000213967	ZNF726	1.09
ENSG00000213973	ZNF99	0
